R_POTEMP,R_TEMP,R_DEPTH,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_PRES,R_O2,R_O2Sat
9.004084,12.2,0,33.13,26.120341,192.307163,0,0,3.105388,50.474572
12.22,12.22,7,32.92,24.93,301.3,0.02,7,3.105388,50.474572
12.22,12.22,10,32.9,24.91,302.8,0.03,10,3.105388,50.474572
12.23,12.23,19,32.84,24.87,307.7,0.05,19,3.105388,50.474572
12.23,12.23,20,32.842,24.87,307.5,0.06,20,3.105388,50.474572
12.23,12.23,30,32.858,24.88,306.6,0.09,30,3.105388,50.474572
12.23,12.23,37,33.828065,26.120341,192.307163,0.11,37,3.105388,50.474572
12.2,12.21,50,32.891,24.91,304.2,0.15,50,3.105388,50.474572
12.19,12.2,55,32.9,24.92,303.5,0.16,55,3.105388,50.474572
12.23,12.24,74,33.04,25.02,294.3,0.22,74,3.105388,50.474572
12.24,12.25,75,33.042,25.02,294.4,0.22,75,3.105388,50.474572
12.48,12.49,100,33.096,25.02,295.4,0.3,100,3.105388,50.474572
12.59,12.6,111,33.12,25.01,295.9,0.33,112,3.105388,50.474572
11.72,11.74,125,33.164,25.21,277.3,0.37,126,3.105388,50.474572
9.89,9.91,150,33.293,25.63,237.3,0.43,151,3.105388,50.474572
9.81,9.83,151,33.3,25.65,235.5,0.44,152,3.105388,50.474572
8.28,8.3,200,33.66,26.18,186.2,0.54,201,3.105388,50.474572
8.04,8.06,217,33.77,26.3,174.9,0.57,218,3.105388,50.474572
7.59,7.61,250,33.874,26.45,161.2,0.63,251,3.105388,50.474572
7.18,7.21,291,33.93,26.55,152.1,0.69,293,3.105388,50.474572
7.07,7.1,300,33.934,26.56,150.5,0.7,302,3.105388,50.474572
5.9,5.93,400,33.934,26.72,136.4,0.85,403,3.105388,50.474572
5.45,5.49,443,33.91,26.75,133.2,0.9,446,3.105388,50.474572
5.09,5.13,500,33.936,26.82,127.5,0.98,503,3.105388,50.474572
4.62,4.67,600,33.993,26.91,118.8,1.1,604,3.105388,50.474572
4.39,4.44,681,34.05,26.99,112.7,1.2,686,3.105388,50.474572
4.34,4.39,700,34.061,27,111.4,1.22,705,3.105388,50.474572
4.05,4.11,800,34.12,27.08,104.7,1.33,806,3.105388,50.474572
3.77,3.84,900,34.179,27.15,98,1.43,907,3.105388,50.474572
3.49,3.56,1000,34.24,27.23,91,1.52,1008,3.105388,50.474572
3.45,3.52,1016,34.25,27.24,89.9,1.54,1025,3.105388,50.474572
12,12,0,32.97,25.01,293.5,0,0,3.105388,50.474572
9.004084,8.86,9,32.94,26.120341,192.307163,0.02,9,3.105388,50.474572
12,12,10,32.94,24.99,295.9,0.02,10,3.105388,50.474572
11.99,11.99,20,32.94,24.99,296,0.05,20,3.105388,50.474572
11.99,11.99,22,32.94,24.99,296,0.06,22,3.105388,50.474572
11.99,11.99,30,32.963,25.01,294.5,0.08,30,3.105388,50.474572
11.99,12,44,33.01,25.04,291.6,0.13,44,3.105388,50.474572
11.94,11.95,50,33,25.04,291.5,0.14,50,3.105388,50.474572
11.69,11.7,67,32.95,25.05,291.2,0.19,67,3.105388,50.474572
11.56,11.57,75,32.983,25.1,286.6,0.22,75,3.105388,50.474572
11.19,11.2,90,33.08,25.24,273.3,0.26,90,3.105388,50.474572
10.66,10.67,100,33.15,25.39,259.4,0.28,100,3.105388,50.474572
9.35,9.36,125,33.356,25.77,223.5,0.34,126,3.105388,50.474572
8.87,8.88,134,33.44,25.91,210.1,0.36,135,3.105388,50.474572
8.54,8.56,150,33.585,26.08,194.8,0.4,151,3.105388,50.474572
8.29,8.31,174,33.78,26.27,177,0.44,175,3.105388,50.474572
7.96,7.98,200,33.806,26.34,170.7,0.49,201,3.105388,50.474572
9.004084,8.974335,246,33.95,26.120341,192.307163,0.56,247,3.105388,50.474572
7.36,7.38,250,33.952,26.54,152.3,0.57,251,3.105388,50.474572
6.83,6.86,300,33.946,26.61,146.4,0.64,302,3.105388,50.474572
6.65,6.68,319,33.98,26.66,141.7,0.67,321,3.105388,50.474572
5.91,5.94,400,33.98,26.75,133.1,0.78,403,3.105388,50.474572
5.3,5.34,479,33.98,26.83,126.6,0.88,482,3.105388,50.474572
5.18,5.22,500,33.996,26.85,124.2,0.91,503,3.105388,50.474572
4.68,4.73,600,34.082,26.98,112.9,1.03,604,3.105388,50.474572
4.32,4.37,700,34.18,27.1,102.4,1.13,705,3.105388,50.474572
4.27,4.32,719,34.2,27.12,100.5,1.15,725,3.105388,50.474572
4.05,4.11,800,34.229,27.16,96.6,1.23,806,3.105388,50.474572
3.77,3.84,900,34.266,27.22,91.5,1.33,907,3.105388,50.474572
3.51,3.58,1000,34.304,27.28,86.5,1.42,1009,3.105388,50.474572
3.24,3.32,1100,34.343,27.33,81.3,1.5,1110,3.105388,50.474572
3.12,3.2,1144,34.36,27.36,79,1.54,1154,3.105388,50.474572
11.7,11.7,0,32.88,24.99,294.9,0,0,3.105388,50.474572
11.62,11.62,8,32.84,24.98,296.6,0.02,8,3.105388,50.474572
11.61,11.61,10,32.84,24.98,296.5,0.03,10,3.105388,50.474572
11.58,11.58,19,32.84,24.99,296.1,0.05,19,3.105388,50.474572
11.58,11.58,20,32.838,24.98,296.3,0.05,20,3.105388,50.474572
11.58,11.58,30,32.821,24.97,297.8,0.08,30,3.105388,50.474572
11.58,11.58,39,32.81,24.96,298.8,0.11,39,3.105388,50.474572
11.55,11.56,50,32.847,25,295.9,0.14,50,3.105388,50.474572
11.53,11.54,59,32.88,25.03,293.3,0.17,59,3.105388,50.474572
11.3,11.31,75,32.827,25.03,293.6,0.22,75,3.105388,50.474572
11.22,11.23,79,32.81,25.03,293.6,0.23,79,3.105388,50.474572
10.81,10.82,100,32.936,25.2,277.7,0.29,100,3.105388,50.474572
10.35,10.36,120,33.12,25.42,256.8,0.34,121,3.105388,50.474572
10.2,10.21,125,33.147,25.47,252.5,0.36,126,3.105388,50.474572
9.47,9.49,150,33.284,25.69,231.3,0.42,151,3.105388,50.474572
9.14,9.16,162,33.35,25.8,221.5,0.44,163,3.105388,50.474572
8.69,8.71,200,33.665,26.12,192,0.52,201,3.105388,50.474572
8.46,8.49,240,33.95,26.38,168.2,0.59,241,3.105388,50.474572
8.36,8.39,250,33.951,26.39,166.8,0.61,251,3.105388,50.474572
7.88,7.91,300,33.957,26.47,160.2,0.69,302,3.105388,50.474572
